community_id,community_area_name,Per_Below_Poverty_Level,Per_Crowded_Housing,Per_Dependency,Per_No_High_School_Diploma,PerCapita_Income,Per_Unemployment,bus_count,train_count,total_stops,area_square_mile,stop_dens_kmsq,stop_dens_sqmi,area_square_mile,area_kmsq,pop_dens_sqmi,pop_dens_kmsq,2020_POP,2020_HH_SIZE,TOT_POP,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,MEDINC,INCPERCAP
67,West Englewood,32.3,6.9,40.9,30.3,10559,34.7,169,1,170,3.15,20.83333333,53.96825397,3.15,8.16,9411.75,3633.88,29647,2.964898205,26158,40.31692515,393,2508,22733,20,504,26438.54749,17440.94147
68,Englewood,42.2,4.8,43.4,29.4,11993,21.3,173,2,175,3.07,22.01257862,57.00325733,3.07,7.95,7937.79,3064.78,24369,2.520891945,22019,35.76229508,255,866,20278,131,489,22228.26087,15034.36201
69,Greater Grand Crossing,25.6,4.2,42.9,17.9,17213,18.9,248,1,249,3.55,27.09466812,70.14084507,3.55,9.19,8865.07,3422.8,31471,2.427328316,29429,36.12857143,257,590,28131,29,422,30109.64912,19735.39876
70,Ashburn,9.5,4.2,36.7,18.3,22078,8.8,131,0,131,4.86,10.4050834,26.95473251,4.86,12.59,8456.38,3265.01,41098,3.140367186,42902,36.46160558,4320,18331,19324,356,571,71951.49017,25905.19106
71,Auburn Gresham,24.5,4.1,42.1,19.5,16022,24.2,174,0,174,3.77,17.82786885,46.15384615,3.77,9.76,11903.98,4596.13,44878,2.476619999,46698,38.58927382,488,1397,44152,124,537,37484.19389,20664.60043
72,Beverly,5.2,0.7,38.7,5.1,40107,7.8,68,0,68,3.18,8.252427184,21.3836478,3.18,8.24,6297.8,2431.58,20027,2.597581589,19817,44.04398955,11126,1179,6562,194,756,110018.1598,55810.52955
73,Washington Heights,15.7,1.1,42.4,15.6,19709,18.3,115,0,115,2.86,15.51956815,40.20979021,2.86,7.41,8763.99,3383.78,25065,2.610715035,26940,42.20468432,451,393,25722,47,327,53580.48162,24293.88493
74,Mount Greenwood,3.1,1.1,37,4.5,34221,6.9,82,0,82,2.71,11.68091168,30.25830258,2.71,7.02,6873.8,2653.97,18628,2.668613139,18840,37.9686243,15287,1975,609,303,666,97760.69519,41850.44559
75,Morgan Park,13.7,0.8,39.4,10.9,26185,14.9,88,0,88,3.3,10.29239766,26.66666667,3.3,8.55,6420,2478.76,21186,2.524281346,20534.30293,43.63474981,6242.948365,911.0843373,12608.27022,86,686,64137.0976,34941.99834
76,O'Hare,9.5,1.9,26.5,11,29402,4.7,30,2,32,13.34,0.926193922,2.3988006,13.34,34.55,1005.85,388.36,13418,2.177167912,13498.30016,36.70826483,9104.961477,1115.448903,892,2099.17175,286.718031,60440.97616,35578.00231
77,Edgewater,16.6,3.9,23.4,9,33364,9,121,4,125,1.74,27.71618625,71.83908046,1.74,4.51,32354.02,12491.89,56296,1.748342414,58693,37.07107611,31412,9323,7781,8059,2118,58283.37875,42485.67865
,,20.58,,,,,13.46,,,,,,,,,,,,,,,,,,,,,
